metaphone,word,translation
AMVS,ambos,both
AMVT,ámbito,scope
AN,aun,even
AN,aún,still
ANDLZ,andaluz,Andalusian
ANDR,andar,walk
ANK,aunque,although
ANLR,anular,cancel
ANM,ánimo,spirit
ANMD,animado,lively
ANMR,animar,cheer
ANS,ansia,longing
ANT,ante,before
ANTG,antiguo,ancient
ANTPSD,antepasado,ancestor
ANTR,anotar,note
ANTRR,anterior,previous
ANTRRM,anteriormente,previously
ANTS,antes,before
ANX,ancho,wide
ANX,anoche,lastnight
ANY,anillo,ring
ANY,año,year
ANZN,anciano,elderly
AOGR,ahogar,drown
AOR,ahora,now
AORR,ahorro,savings
AORRR,ahorrar,save
APGR,apagar,turnoff
APLSTR,aplastar,crush
APNS,apenas,hardly
APNT,apunte,note
APNTR,apuntar,aim
APR,apuro,trouble
APRNDR,aprender,learn
APRNDZ,aprendizaje,learning
APRR,apurar,hurry
APRSRR,apresurar,rush
APRT,aparato,device
APRT,aparte,aside
APRTR,apartar,separate
APRTR,apertura,opening
APRTR,aportar,contribute
APRTR,apretar,squeeze
APRVXR,aprovechar,profit
APST,apuesta,bet
APSTR,apostar,bet
APY,apoyo,support
APYD,apellido,surname
APYR,apoyar,support
ARDNT,ardiente,burning
ARDR,arder,burn
ARGMNT,argumentar,argue
ARM,arma,weapon
ARMR,armar,assemble
ARMR,armario,wardrobe
ARN,arena,sand
ARN,harina,flour
ARNY,araña,spider
ARRG,arruga,wrinkle
ARRGLR,arreglar,fix
ARRGR,arrugar,wrinkle
ARRJR,arrojar,throw
ARRNKR,arrancar,start
ARRNR,arruinar,ruin
ARRSGR,arriesgar,risk
ARRSTR,arrastrar,drag
ARRV,arriba,above
ARRY,arroyo,stream
ARRZ,arroz,rice
ART,harto,fedup
ARVL,árbol,tree
AS,así,thus
ASK,asco,disgust
ASMVR,asombro,amazement
ASMVRR,asombrar,amaze
ASMVRS,asombroso,amazing
ASNT,asiento,seat
ASNT,asunto,matter
ASNTR,asentir,agree
ASPR,áspero,rough
ASSN,asesino,murderer
ASSNR,asesinar,murder
ASSNT,asesinato,murder
ASSTR,asistir,attend
ASSTR,asustar,scare
AST,hasta,until
ASZNSR,ascensor,elevator
AT,auto,car
ATD,ataúd,coffin
ATNDR,atender,attend
ATNT,atento,attentive
ATNTD,atentado,attack
ATR,atar,tie
ATRDZR,atardecer,dusk
ATRPR,atrapar,catch
ATRS,atrás,behind
ATRVSR,atravesar,cross
ATVS,autobús,bus
AV,ave,bird
AVGD,abogado,lawyer
AVJ,abajo,below
AVL,abuela,grandmother
AVL,abuelo,grandfather
AVL,habla,speech
AVL,hábil,skillful
AVLDD,habilidad,skill
AVLR,hablar,speak
AVR,haber,have
AVRG,abrigo,coat
AVRGNZ,avergonzar,embarrass
AVRGR,averiguar,findout
AVRKR,abarcar,span
AVRR,abrir,open
AVRRD,aburrido,bored
AVRRR,aburrir,bore
AVRT,abierto,open
AVRZ,abrazo,hug
AVRZR,abrazar,hug
AVS,aviso,notice
AVSR,avisar,notify
AVTZN,habitación,room
AY,allá,there
AY,allí,there
AYDNT,ayudante,helper
AYDR,ayudar,help
AYNTMN,ayuntamiento,townhall
AYR,hallar,find
AYZG,hallazgo,finding
AZ,hacia,toward
AZKR,azúcar,sugar
AZL,azul,blue
AZND,hacienda,estate
AZNY,hazaña,feat
AZR,acera,sidewalk
AZR,acero,steel
AZR,azar,chance
AZR,hacer,do
AZRK,acerca,about
AZRKR,acercar,approach
AZRTR,acertar,guess
AZT,aceite,oil
D,de,of
DD,dado,dice
DD,dedo,finger
DD,duda,doubt
DDR,dudar,doubt
DDS,dudoso,doubtful
DFKLTR,dificultar,hinder
DFNDR,difundir,spread
DGN,digno,worthy
DLGD,delgado,thin
DLNT,delante,infront
DLR,doler,hurt
DLR,dolor,pain
DLRS,doloroso,painful
DLT,delito,crime
DLZ,dulce,sweet
DM,dama,lady
DMNG,domingo,Sunday
DMNKN,dominicano,Dominican
DMRR,demorar,delay
DMSD,demasiado,too
DN,don,gift
DND,donde,where
DND,dónde,where
DNNZR,denunciar,report
DNR,dinero,money
DNT,diente,tooth
DNTR,dentro,inside
DNY,daño,damage
DNY,dueño,owner
DNYR,dañar,damage
DPRT,deporte,sport
DPRTV,deportivo,sports
DR,dar,give
DR,duro,hard
DRMR,dormir,sleep
DRR,durar,last
DRRMR,derramar,spill
DRRTR,derrotar,defeat
DRRVR,derribar,knockdown
DRX,derecha,right
DS,deseo,desire
DS,dios,god
DS,dos,two
DSAZR,deshacer,undo
DSD,desde,since
DSF,desafío,challenge
DSFL,desfile,parade
DSFR,desafiar,challenge
DSFRTR,disfrutar,enjoy
DSGRDV,desagradable,unpleasant
DSGRZ,desgracia,misfortune
DSGST,disgusto,displeasure
DSKDR,descuidar,neglect
DSKLP,disculpa,excuse
DSKLPR,disculpar,excuse
DSKLZ,descalzo,barefoot
DSKNS,descanso,rest
DSKNSR,descansar,rest
DSKNZD,desconocido,unknown
DSKRS,discurso,speech
DSLZR,deslizar,slide
DSMLR,disimular,pretend
DSMPNY,desempeñar,fulfill
DSND,desnudo,naked
DSPDD,despedida,farewell
DSPDR,despedir,dismiss
DSPGR,despegar,takeoff
DSPNR,disponer,arrange
DSPRR,disparar,shoot
DSPRT,despierto,awake
DSPRTR,despertar,awaken
DSPRZ,desprecio,disdain
DSPRZR,despreciar,scorn
DSPS,después,after
DSPST,dispuesto,willing
DSPZ,despacio,slow
DSR,desear,wish
DSRRY,desarrollo,development
DSRRYR,desarrollar,develop
DSSPRZ,desesperación,despair
DSTKR,destacar,stand-out
DSTNR,destinar,allocate
DSTNT,distinto,different
DSTR,desatar,unleash
DSTRZR,destrozar,destroy
DSYN,desayuno,breakfast
DSZNTS,doscientos,twohundred
DT,dato,fact
DTND,detenido,detained
DTNR,detener,stop
DTR,dotar,endow
DTRS,detrás,behind
DTYD,detallado,detailed
DVJ,debajo,below
DVJ,dibujo,drawing
DVJR,dibujar,draw
DVL,débil,weak
DVLDD,debilidad,weakness
DVLR,doblar,fold
DVLVR,devolver,return
DVR,deber,must
DVRSN,diversión,fun
DVRTD,divertido,funny
DVRTR,divertir,amuse
DX,dicho,saying
DZ,diez,ten
DZ,doce,twelve
DZN,decena,ten
DZNV,diecinueve,nineteen
DZR,decir,say
DZSS,dieciséis,sixteen
DZST,diecisiete,seventeen
DZX,dieciocho,eighteen
EDD,edad,age
EJRZT,ejército,army
EKP,equipo,team
EKVKR,equivocar,mistake
EL,el,the
EL,él,he
ELD,helado,icecream
ELJR,elegir,choose
EMPJR,empujar,push
EMPPR,empapar,soak
EMPRND,emprender,undertake
EMPRS,empresa,company
EMPZR,empezar,start
EMVR,hembra,female
EMVRZ,embarazo,pregnancy
EMVRZD,embarazada,pregnant
EMZNR,emocionar,excite
EN,en,in
ENDRZR,endurecer,harden
ENFK,enfoque,focus
ENFRM,enfermo,sick
ENFRMD,enfermedad,illness
ENFRMR,enfermar,sicken
ENFRMR,enfermero,nurse
ENFRR,enfriar,cool
ENGNY,engaño,deception
ENGNYR,engañar,deceive
ENJR,enojar,anger
ENKJ,encaje,lace
ENKJR,encajar,fit
ENKNT,encanto,charm
ENKNTR,encantar,enchant
ENKNTR,encontrar,find
ENKRG,encargo,order
ENKRR,encarar,confront
ENKST,encuesta,survey
ENR,enero,January
ENSNYN,enseñanza,teaching
ENSNYR,enseñar,teach
ENTNDR,entender,understand
ENTNZS,entonces,then
ENTR,entero,whole
ENTR,entre,among
ENTRGR,entregar,deliver
ENTRN,entorno,environment
ENTRND,entrenador,coach
ENTRNM,entrenamiento,training
ENTRNR,entrenar,train
ENTRNY,entrañas,guts
ENTRR,entierro,burial
ENTRRR,enterrar,bury
ENTSSM,entusiasmar,excite
ENV,envío,shipment
ENVJZR,envejecer,age
ENVLVR,envolver,wrap
ENVR,enviar,send
ENZM,encima,above
ENZNDR,encender,ignite
ENZRRR,encerrar,enclose
EPK,época,era
ERD,herida,wound
ERD,herido,wounded
ERMN,hermana,sister
ERMN,hermano,brother
ERMS,hermoso,beautiful
ERRMNT,herramienta,tool
ERVR,hervir,boil
ES,esa,that
ES,ese,that
ES,eso,that
ESFRZ,esfuerzo,effort
ESKD,escudo,shield
ESKJR,escoger,choose
ESKL,escuela,school
ESKLN,escalón,step
ESKLR,escalera,ladder
ESKN,esquina,corner
ESKNDR,esconder,hide
ESKPR,escupir,spit
ESKRT,escrito,written
ESKRTR,escritor,writer
ESKRTR,escritorio,desk
ESKRTR,escritura,writing
ESKRVR,escribir,write
ESKSZ,escasez,scarcity
ESKXR,escuchar,listen
ESPD,espada,sword
ESPJ,espejo,mirror
ESPKTK,espectáculo,show
ESPLD,espalda,back
ESPM,espuma,foam
ESPN,espina,thorn
ESPNT,espanto,fright
ESPNTR,espantar,scare
ESPNTS,espantoso,frightful
ESPR,espera,wait
ESPR,espiar,spy
ESPRNZ,esperanza,hope
ESPS,espeso,thick
ESPS,esposa,wife
ESPS,esposo,husband
EST,este,this
EST,esto,this
EST,éste,this
ESTDND,estadounidense,American
ESTPND,estupendo,great
ESTR,estar,be
ESTRR,estirar,stretch
ESTRX,estrecho,narrow
ESTRY,estrella,star
ESTRYR,estrellar,crash
ESTS,estas,these
ESTS,estos,these
ESTYR,estallar,burst
ETP,etapa,stage
EVTR,evitar,avoid
EX,hecho,fact
EXJR,exigir,demand
EXR,echar,throw
EXTRNJ,extranjero,foreigner
EXTRNY,extrañar,miss
EXTRNY,extraño,strange
EY,ella,she
EY,ello,it
F,fe,faith
F,feo,ugly
FG,fuego,fire
FG,fuga,escape
FJ,fijo,fixed
FJR,fijar,fix
FL,fila,row
FLD,falda,skirt
FLK,flaco,thin
FLT,falta,lack
FLT,flota,fleet
FLTR,faltar,lack
FLX,flecha,arrow
FLZ,feliz,happy
FLZDD,felicidad,happiness
FLZTR,felicitar,congratulate
FMLR,familiar,relative
FMNTR,fomentar,foster
FMR,fumar,smoke
FN,fin,end
FN,fino,fine
FND,fondo,bottom
FNDMNT,fundamentar,base
FNDR,fundir,melt
FNJR,fingir,pretend
FNK,finca,property
FNLDD,finalidad,purpose
FNT,fuente,source
FNTSM,fantasma,ghost
FNZNR,funcionar,work
FR,frío,cold
FR,fuera,outside
FRKS,fracaso,failure
FRM,firma,signature
FRNJ,franja,stripe
FRNR,frenar,brake
FRNT,frente,forehead
FRNTR,frontera,border
FRSK,frasco,bottle
FRSK,fresco,fresh
FRT,frito,fried
FRT,fuerte,strong
FRTR,frotar,rub
FRZ,fuerza,force
FSL,fusil,rifle
FST,fiesta,party
FSTJR,festejar,celebrate
FTVL,fútbol,soccer
FTVLST,futbolista,soccerplayer
FVR,fiebre,fever
FX,fecha,date
FY,falla,flaw
FY,fallo,failure
FYR,fallar,fail
FYZR,fallecer,passaway
FZL,fácil,easy
FZLDD,facilidad,ease
FZLMNT,fácilmente,easily
GLP,golpe,blow
GLPR,golpear,hit
GLV,globo,balloon
GM,goma,rubber
GNDR,ganador,winner
GNNZ,ganancia,profit
GNR,ganar,win
GP,guapo,handsome
GRD,gordo,fat
GRDR,guardar,keep
GRGNT,garganta,throat
GRN,grano,grain
GRND,grande,big
GRR,garra,claw
GRR,guerra,war
GRRR,guerrero,warrior
GRS,grasa,fat
GRS,grueso,thick
GRT,grito,scream
GRTR,gritar,shout
GRV,grave,serious
GRVR,grabar,record
GRZS,gracias,thanks
GRZS,gracioso,funny
GSN,gusano,worm
GST,gasto,expense
GST,gusto,taste
GSTR,gastar,spend
GSTR,gustar,like
GT,gato,cat
GT,gota,drop
GY,gallo,rooster
GYN,gallina,hen
GZR,gozar,enjoy
IDM,idioma,language
IDR,idear,devise
IGD,hígado,liver
IGLS,iglesia,church
IJ,hija,daughter
IJ,hijo,son
IL,hielo,ice
IL,hilo,thread
IMN,himno,anthem
IMPDR,impedir,prevent
IMPLSR,impulsar,propel
IND,indio,Indian
INFLZ,infeliz,unhappy
INFNZ,infancia,childhood
INFRM,informe,report
INFRN,infierno,hell
INGRS,ingreso,income
INGRSR,ingresar,enter
INJN,ingenuo,naive
INKLNR,inclinar,tilt
INKLS,incluso,even
INKMD,incómodo,uncomfortable
INKPZ,incapaz,unable
INKTD,inquietud,unease
INKTR,inquietar,disturb
INLVDV,inolvidable,unforgettable
INSPRD,inesperado,unexpected
INSPRT,insoportable,unbearable
INTL,inútil,useless
INTNT,intento,attempt
INTNTR,intentar,try
INVRN,invierno,winter
INVSTG,investigación,research
INVSTG,investigador,researcher
INVTD,invitado,guest
INZND,incendio,fire
INZRTD,incertidumbre,uncertainty
IR,ir,go
IRR,hierro,iron
IRV,hierba,herb
ISL,isla,island
IZKRD,izquierda,left
IZKRD,izquierdo,left
JDR,joder,fuck
JF,jefe,chief
JG,juego,game
JG,jugo,juice
JGR,jugar,play
JGT,juguete,toy
JL,jaula,cage
JMR,gemir,moan
JMS,jamás,never
JNL,genial,great
JNT,gente,people
JNT,jinete,rider
JNT,junto,together
JNTR,juntar,join
JRDN,jardín,garden
JRND,jornada,workday
JRR,girar,turn
JST,justo,just
JSTN,gestión,management
JSTNR,gestionar,manage
JVN,jabón,soap
JVN,joven,young
JVS,jueves,Thursday
JY,joya,jewel
K,que,that
K,qué,what
KD,cada,each
KD,caída,fall
KD,codo,elbow
KDD,cuidado,care
KDN,cadena,chain
KDR,cadera,hip
KDR,cuadro,picture
KDR,cuidar,care
KDR,quedar,remain
KDRN,cuaderno,notebook
KF,café,coffee
KGR,cagar,shit
KJ,caja,box
KJ,queja,complaint
KJN,cajón,drawer
KJR,coger,take
KK,coca,coca
KK,coco,coconut
KL,cola,tail
KL,culo,ass
KL,cuál,which
KLD,cálido,warm
KLFKR,calificar,grade
KLGR,colgar,hang
KLJ,colegio,school
KLKR,colocar,place
KLKR,cualquiera,anyone
KLN,colina,hill
KLNT,caliente,hot
KLNTR,calentar,heat
KLP,culpa,guilt
KLPVL,culpable,guilty
KLR,calor,heat
KLR,claro,clear
KLR,colar,strain
KLRD,colorado,colored
KLRMNT,claramente,clearly
KLTV,cultivo,crop
KLV,clavo,nail
KLVR,clavar,nail
KLXN,colchón,mattress
KM,cama,bed
KM,como,like
KM,cómo,how
KMD,comida,food
KMD,cómodo,comfortable
KMDDD,comodidad,comfort
KMDR,comedor,diningroom
KMN,camino,road
KMN,camión,truck
KMNR,caminar,walk
KMNZ,comienzo,beginning
KMNZR,comenzar,begin
KMP,campo,field
KMPLNY,cumpleaños,birthday
KMPLR,cumplir,fulfill
KMPLZR,complacer,please
KMPMNT,campamento,camp
KMPN,campana,bell
KMPN,campeón,champion
KMPNY,compañía,company
KMPR,compra,purchase
KMPRND,comprender,understand
KMPRR,comprar,buy
KMPRTM,comportamiento,behavior
KMPRTR,compartir,share
KMPSN,campesino,peasant
KMR,comer,eat
KMR,quemar,burn
KMS,camisa,shirt
KMSR,comisaría,police-station
KMST,camiseta,t-shirt
KMVR,cambiar,change
KMVR,cumbre,summit
KN,con,with
KN,cuna,cradle
KN,quien,who
KN,quién,who
KND,cuando,when
KND,cuándo,when
KNDZR,conducir,drive
KNFNZ,confianza,trust
KNFR,confiar,trust
KNJ,conejo,rabbit
KNJLR,congelar,freeze
KNJNT,conjunto,set
KNK,cuenca,basin
KNMG,conmigo,withme
KNNTS,quinientos,fivehundred
KNSD,cansado,tired
KNSG,consigo,withhimself
KNSGR,conseguir,get
KNSJ,consejo,advice
KNSR,cansar,tire
KNSTR,constar,consist
KNT,canto,song
KNT,cuanto,asmuch
KNT,cuenta,account
KNT,cuento,story
KNT,cuánto,howmuch
KNTG,contigo,withyou
KNTNT,contento,happy
KNTR,cantar,sing
KNTR,contar,tell
KNTR,contra,against
KNTRTR,contratar,hire
KNTSTR,contestar,answer
KNVNR,convenir,suit
KNX,cancha,field
KNX,concha,shell
KNY,caña,cane
KNYD,cuñado,brotherinlaw
KNZ,quince,fifteen
KNZD,conocido,acquaintance
KNZDR,conceder,grant
KNZR,conocer,know
KP,capa,layer
KP,copa,cup
KPRX,capricho,whim
KPZ,capaz,capable
KR,caer,fall
KR,cara,face
KR,caro,expensive
KR,coro,choir
KR,cuero,leather
KR,cura,priest
KRD,crudo,raw
KRD,cuerda,rope
KRDYR,cordillera,mountainrange
KRG,carga,load
KRGR,cargar,load
KRJR,crujir,creak
KRKL,caracol,snail
KRN,carne,meat
KRN,cráneo,skull
KRN,cuerno,horn
KRNT,cuarenta,forty
KRNYS,cariñoso,affectionate
KRNZ,creencia,belief
KRPT,carpeta,folder
KRR,carro,car
KRR,correo,mail
KRR,creer,believe
KRR,criar,raise
KRR,curar,heal
KRR,querer,want
KRRR,correr,run
KRRTR,carretera,road
KRSTL,cristal,glass
KRT,carta,letter
KRT,corte,cut
KRT,corto,short
KRT,cuarto,room
KRTL,cartel,poster
KRTL,cuartel,barracks
KRTN,cartón,cardboard
KRTN,cortina,curtain
KRTR,cartera,wallet
KRTR,cortar,cut
KRTZ,corteza,bark
KRVN,carbón,coal
KRVT,corbata,tie
KRZ,cruce,crossing
KRZL,cárcel,jail
KRZN,corazón,heart
KRZR,carecer,lack
KRZR,crecer,grow
KS,casa,house
KS,casi,almost
KS,caso,case
KS,cosa,thing
KS,queso,cheese
KSD,casado,married
KSK,casco,helmet
KSR,casar,marry
KSR,coser,sew
KSTG,castigo,punishment
KSTGR,castigar,punish
KSTMVR,costumbre,custom
KSTR,costar,cost
KSTS,costoso,costly
KSTYN,castellano,Castilian
KSX,cosecha,harvest
KT,quieto,still
KTR,cuatro,four
KTR,quitar,remove
KTRZ,catorce,fourteen
KVR,cobre,copper
KVRR,cubrir,cover
KVRR,quebrar,break
KVRT,cubierta,cover
KVRT,cubierto,covered
KVY,caballo,horse
KVY,cabello,hair
KVYR,caballero,gentleman
KVYR,cabellera,mane
KVZ,cabeza,head
KX,coche,car
KXY,cuchillo,knife
KY,calle,street
KY,cuello,neck
KY,cuyo,whose
KYR,callar,silence
KZ,caza,hunt
KZDR,cazador,hunter
KZN,cocina,kitchen
KZNR,cocinar,cook
KZR,cazar,hunt
KZS,quizás,maybe
L,la,the
L,le,him
L,lo,it
LD,lado,side
LDRN,ladrón,thief
LDRY,ladrillo,brick
LG,lago,lake
LG,luego,then
LGR,ligar,link
LGR,lugar,place
LGRM,lágrima,tear
LGRR,lograr,achieve
LJN,lejano,distant
LJR,ligero,light
LJRMNT,ligeramente,slightly
LJS,lejos,far
LK,loco,crazy
LKR,locura,madness
LLTD,lealtad,loyalty
LM,lomo,loin
LMP,limpio,clean
LMPR,limpiar,clean
LMPZ,limpieza,cleaning
LN,lana,wool
LN,luna,moon
LND,lindo,cute
LNG,lengua,tongue
LNS,lunes,Monday
LNT,lento,slow
LNTMNT,lentamente,slowly
LNY,leña,firewood
LNZ,lienzo,canvas
LPZ,lápiz,pencil
LR,leer,read
LRG,largo,long
LS,las,the
LS,les,them
LS,liso,smooth
LS,los,the
LST,listo,ready
LSTM,lástima,pity
LT,lata,can
LTR,latir,beat
LV,leve,slight
LV,lobo,wolf
LVNTR,levantar,raise
LVR,lavar,wash
LVR,libra,pound
LVR,libro,book
LVRR,librar,release
LVRR,librería,bookstore
LX,leche,milk
LX,lecho,bed
LX,lucha,fight
LXR,luchar,fight
LZ,lazo,tie
LZ,luz,light
LZR,lucir,shine
M,me,me
M,mi,my
M,mí,me
M,mía,mine
M,mío,mine
MD,media,stocking
MD,medio,means
MD,miedo,fear
MD,moda,fashion
MD,modo,way
MD,mudo,mute
MDD,medida,measure
MDD,mediodía,noon
MDK,médico,doctor
MDNX,medianoche,midnight
MDR,madera,wood
MDR,madre,mother
MDR,maduro,mature
MDR,medir,measure
MDR,mudar,move
MDRGD,madrugada,dawn
MDRLNY,madrileño,Madrilenian
MDRR,madurar,mature
MDRZ,madurez,maturity
MJD,mojado,wet
MJR,mejor,better
MJR,mejora,improvement
MJR,mojar,wet
MJR,mujer,woman
MJRR,mejorar,improve
MJY,mejilla,cheek
MK,mueca,grimace
MKYJ,maquillaje,makeup
ML,mal,bad
ML,malo,bad
ML,miel,honey
ML,mil,thousand
MLDD,maldad,evil
MLDZR,maldecir,curse
MLST,molesto,annoyed
MLSTR,molestar,bother
MLT,maleta,suitcase
MLT,multa,fine
MM,mamá,mom
MN,mano,hand
MN,mono,monkey
MND,mando,control
MND,menudo,often
MND,moneda,coin
MND,mundo,world
MNDL,mundial,global
MNDR,mandar,send
MNG,manga,sleeve
MNG,mango,mango
MNJ,monja,nun
MNJR,manejar,handle
MNR,menor,younger
MNS,menos,less
MNT,manta,blanket
MNT,monte,mountain
MNTN,montón,heap
MNTNY,montaña,mountain
MNTNYS,montañoso,mountainous
MNTR,mentir,lie
MNTR,mentira,lie
MNTRS,mientras,while
MNX,mancha,stain
MNYK,muñeca,doll
MNYN,mañana,morning
MNZN,manzana,apple
MR,mar,sea
MR,marea,tide
MR,mero,mere
MR,muro,wall
MRD,marido,husband
MRD,mierda,shit
MRD,mirada,gaze
MRDR,morder,bite
MRKLS,miércoles,Wednesday
MRN,moreno,brunette
MRPS,mariposa,butterfly
MRR,mirar,look
MRR,morir,die
MRT,muerte,death
MRT,muerto,dead
MRTS,martes,Tuesday
MRY,muralla,wall
MRZR,merecer,deserve
MS,mas,but
MS,mes,month
MS,mesa,table
MS,mis,my
MS,misa,mass
MS,más,more
MSK,mosca,fly
MSL,muslo,thigh
MSM,mismo,same
MSTR,maestro,teacher
MSTR,muestra,sample
MSTRR,mostrar,show
MT,meta,goal
MT,moto,motorcycle
MTD,mitad,half
MTR,matar,kill
MTR,meter,put
MTZ,matiz,nuance
MVL,mueble,furniture
MX,macho,male
MX,mucho,much
MXX,muchacha,girl
MXX,muchacho,boy
MY,muy,very
MYR,mayor,greater
MZ,maíz,corn
MZ,mozo,waiter
MZKL,mezcla,mixture
MZKLR,mezclar,mix
N,ni,nor
N,no,no
ND,nada,nothing
ND,nadie,nobody
ND,nido,nest
ND,nudo,knot
NDR,nadar,swim
NGR,negar,deny
NGR,negro,black
NGTV,negativa,refusal
NMVR,nombre,name
NMVRMN,nombramiento,appointment
NMVRR,nombrar,name
NN,nene,baby
NNGN,ninguno,none
NNK,nunca,never
NNY,niña,girl
NNY,niño,boy
NNYZ,niñez,childhood
NRNJ,naranja,orange
NRV,nervio,nerve
NRZ,nariz,nose
NS,nos,us
NSTR,nuestra,our
NSTR,nuestro,our
NSTRS,nosotras,we
NSTRS,nosotros,we
NSTRS,nuestros,our
NT,nieto,grandson
NTRLZ,naturaleza,nature
NV,nave,ship
NV,nieve,snow
NV,novia,bride
NV,novio,groom
NV,nube,cloud
NV,nueve,nine
NV,nuevo,new
NVL,niebla,fog
NVNT,noventa,ninety
NX,noche,night
NZMNT,nacimiento,birth
NZR,nacer,beborn
NZSDD,necesidad,need
NZSTR,necesitar,need
O,o,or
OD,odio,hatred
OD,oído,hearing
ODR,odiar,hate
OGR,hogar,home
OJ,hoja,leaf
OJ,ojo,eye
OJL,ojalá,hopefully
OKLT,oculto,hidden
OKLTR,ocultar,hide
OL,hola,hello
OL,ola,wave
OLR,oler,smell
OLR,olor,smell
OLVD,olvido,oblivion
OLVDR,olvidar,forget
OMVR,hombre,man
OMVR,hombro,shoulder
OND,hondo,deep
OND,onda,wave
ONG,hongo,fungus
ONZ,once,eleven
OR,hora,hour
OR,oro,gold
OR,oír,hear
ORGY,orgullo,pride
ORGYS,orgulloso,proud
ORJ,oreja,ear
ORMG,hormiga,ant
ORN,horno,oven
ORY,orilla,shore
ORZN,oración,sentence
OS,os,you
OS,oso,bear
OSKR,oscuro,dark
OSKRDD,oscuridad,darkness
OSKRZR,oscurecer,darken
OTNY,otoño,autumn
OTR,otro,other
OTRGR,otorgar,grant
OVJ,oveja,sheep
OVR,obra,work
OX,ocho,eight
OXNT,ochenta,eighty
OY,hoy,today
OY,olla,pot
P,pie,foot
PDR,pedir,request
PDR,piedra,stone
PDR,poder,can
PDRR,pudrir,rot
PDRS,poderoso,powerful
PDZ,pedazo,piece
PDZR,padecer,suffer
PGR,pegar,hit
PJ,paja,straw
PJR,pájaro,bird
PK,pico,beak
PK,poco,little
PKD,pecado,sin
PKNY,pequeño,small
PKR,pecar,sin
PKR,picar,sting
PL,palo,stick
PL,pelea,fight
PL,pelo,hair
PL,piel,skin
PL,pila,battery
PLGR,peligro,danger
PLGRS,peligroso,dangerous
PLKL,película,movie
PLM,paloma,dove
PLM,pluma,feather
PLN,pleno,full
PLNTY,plantilla,template
PLNX,plancha,iron
PLR,pelear,fight
PLT,pelota,ball
PLV,polvo,dust
PLVR,palabra,word
PLY,playa,beach
PN,pan,bread
PN,pena,sorrow
PN,peón,pawn
PNDNT,pendiente,pending
PNR,poner,put
PNSR,pensar,think
PNT,puente,bridge
PNT,punta,tip
PNTLN,pantalón,pants
PNTY,pantalla,screen
PNY,puño,fist
