metaphone,word,translation
EXMNR,examinar,examine
EXPDZN,expedición,expedition
EXPKTT,expectativa,expectation
EXPLKR,explicar,explain
EXPLKZ,explicación,explanation
EXPLRR,explorar,explore
EXPLSN,explosión,explosion
EXPLSR,expulsar,expel
EXPLTR,explotar,exploit
EXPLTZ,explotación,exploitation
EXPNR,exponer,expose
EXPRMN,experimentar,experience
EXPRMN,experimento,experiment
EXPRNZ,experiencia,experience
EXPRSN,expresión,expression
EXPRSR,expresar,express
EXPRT,experto,expert
EXPRTR,exportar,export
EXPRTZ,exportación,export
EXPSZN,exposición,exposition
EXSTNT,existente,existing
EXSTNZ,existencia,existence
EXSTR,existir,exist
EXTNDR,extender,extend
EXTNGR,extinguir,extinguish
EXTNS,extenso,extensive
EXTNSN,extensión,extension
EXTNZN,extinción,extinction
EXTRM,extremo,extreme
EXTRN,externo,external
EXTRR,exterior,exterior
EXTRR,extraer,extract
EXTRRD,extraordinario,extraordinary
EXZDR,exceder,exceed
EXZLNT,excelente,excellent
EXZLNZ,excelencia,excellence
EXZPT,excepto,except
EXZPZN,excepcional,exceptional
EXZPZN,excepción,exception
EXZSV,excesivo,excessive
FDLDD,fidelidad,fidelity
FDRL,federal,federal
FDRZN,federación,federation
FGR,figura,figure
FKLTD,facultad,faculty
FKTR,factor,factor
FKTR,factura,invoice
FL,fiel,faithful
FLJ,flujo,flow
FLR,flor,flower
FLR,fluir,flow
FLRZR,florecer,flourish
FLS,falso,false
FLSF,filosofía,philosophy
FLSF,filósofo,philosopher
FLSFK,filosófico,philosophical
FLTR,filtro,filter
FLTR,flotar,float
FLTRR,filtrar,filter
FLXVL,flexible,flexible
FM,fama,fame
FML,familia,family
FMNN,femenino,feminine
FMS,famoso,famous
FN,fauna,fauna
FNDDR,fundador,founder
FNDMNT,fundamental,fundamental
FNDMNT,fundamento,foundation
FNDR,fundar,found
FNDZN,fundación,foundation
FNL,final,final
FNLMNT,finalmente,finally
FNMN,fenómeno,phenomenon
FNNZR,financiero,financial
FNTS,fantasía,fantasy
FNTSTK,fantástico,fantastic
FNZN,función,function
FNZNR,funcionario,official
FR,feria,fair
FR,foro,forum
FR,furia,fury
FRD,fraude,fraud
FRGMNT,fragmento,fragment
FRJL,frágil,fragile
FRKNT,frecuente,frequent
FRKNTM,frecuentemente,frequently
FRKNTR,frecuentar,frequent
FRKNZ,frecuencia,frequency
FRM,firme,firm
FRM,forma,form
FRMDVL,formidable,formidable
FRMK,fármaco,drug
FRML,formal,formal
FRML,fórmula,formula
FRMLR,formular,formulate
FRMR,firmar,sign
FRMR,formar,form
FRMT,formato,format
FRMZ,farmacia,pharmacy
FRMZN,formación,training
FRNK,franco,frank
FRNZS,francés,French
FRRKRR,ferrocarril,railway
FRS,frase,phrase
FRS,furioso,furious
FRSTRR,frustrar,frustrate
FRSTRZ,frustración,frustration
FRT,fruta,fruit
FRT,fruto,fruit
FRTLZ,fortaleza,fortress
FRTN,fortuna,fortune
FRXN,fracción,fraction
FRZR,forzar,force
FS,fase,phase
FSK,físico,physical
FSKL,fiscal,fiscal
FSKMNT,físicamente,physically
FSN,fusión,fusion
FSTVL,festival,festival
FSZNR,fascinar,fascinate
FT,foto,photo
FTG,fatiga,fatigue
FTGRF,fotografía,photograph
FTGRF,fotógrafo,photographer
FTGRFK,fotográfico,photographic
FTL,fatal,fatal
FTR,futuro,future
FVR,favor,favor
FVR,fibra,fiber
FVRK,fábrica,factory
FVRKNT,fabricante,manufacturer
FVRKR,fabricar,manufacture
FVRKZN,fabricación,manufacturing
FVRR,febrero,February
FVRT,favorito,favorite
FVRZR,favorecer,favor
FXD,fachada,facade
FXN,facción,faction
FXN,ficción,fiction
FZLTR,facilitar,facilitate
G,guía,guide
GL,gol,goal
GLF,golfo,gulf
GLR,galería,gallery
GLR,gloria,glory
GLVL,global,global
GLX,galaxia,galaxy
GN,guión,script
GNT,guante,glove
GR,guiar,guide
GRD,grado,degree
GRD,guardia,guard
GRDR,graduar,graduate
GRFK,gráfico,graphic
GRG,griego,Greek
GRNT,garantía,guarantee
GRNTZR,garantizar,guarantee
GRP,grupo,group
GRRY,guerrilla,guerrilla
GRS,gris,gray
GRVDD,gravedad,gravity
GRVZN,grabación,recording
GRZ,gracia,grace
GS,gas,gas
GSLN,gasolina,gasoline
GTRR,guitarra,guitar
GVNT,gabinete,cabinet
GVRN,gobierno,government
GVRNDR,gobernador,governor
GVRNR,gobernar,govern
ID,idea,idea
IDL,ideal,ideal
IDL,ídolo,idol
IDLJ,ideología,ideology
IDLJK,ideológico,ideological
IDNTDD,identidad,identity
IDNTFK,identificación,identification
IDNTFK,identificar,identify
IDRJN,hidrógeno,hydrogen
IDT,idiota,idiot
IGL,igual,equal
IGLDD,igualdad,equality
IGLMNT,igualmente,likewise
IGNRNZ,ignorancia,ignorance
IGNRR,ignorar,ignore
ILGL,ilegal,illegal
ILMNR,iluminar,illuminate
ILMNZN,iluminación,lighting
ILSTRR,ilustrar,illustrate
ILSTRZ,ilustración,illustration
IMJN,imagen,image
IMJNR,imaginar,imagine
IMJNZN,imaginación,imagination
IMPKT,impacto,impact
IMPLKR,implicar,imply
IMPLS,impulso,impulse
IMPNR,imponer,impose
IMPR,imperio,empire
IMPRL,imperial,imperial
IMPRMR,imprimir,print
IMPRSN,impresionante,impressive
IMPRSN,impresionar,impress
IMPRSN,impresión,impression
IMPRTN,importancia,importance
IMPRTN,importante,important
IMPRTR,importar,matter
IMPRTZ,importación,import
IMPRVS,improvisar,improvise
IMPSVL,imposible,impossible
IMPZNZ,impaciencia,impatience
IMTR,imitar,imitate
INDFRN,indiferente,indifferent
INDJN,indígena,indigenous
INDKDR,indicador,indicator
INDKR,indicar,indicate
INDKZN,indicación,indication
INDPND,independencia,independence
INDPND,independiente,independent
INDSTR,industria,industry
INDSTR,industrial,industrial
INDVDL,individual,individual
INDZ,índice,index
INDZR,inducir,induce
INFLNZ,influencia,influence
INFLR,influir,influence
INFLZN,inflación,inflation
INFNT,infinito,infinite
INFRMR,informar,inform
INFRMZ,información,information
INFRR,inferior,inferior
INFXN,infección,infection
INGLS,inglés,English
INGRDN,ingrediente,ingredient
INGRR,inaugurar,inaugurate
INGRZN,inauguración,inauguration
INJNR,ingeniero,engineer
INJNR,ingeniería,engineering
INKLNZ,inclinación,inclination
INKLR,incluir,include
INKNSZ,inconsciente,unconscious
INKRMN,incrementar,increase
INKRMN,incremento,increase
INKRPR,incorporar,incorporate
INKRVL,increíble,incredible
INMDT,inmediato,immediate
INMDTM,inmediatamente,immediately
INMGRN,inmigrante,immigrant
INMNS,inmenso,immense
INNDR,inundar,flood
INNDZN,inundación,flood
INSFZN,insuficiente,insufficient
INSGRD,inseguridad,insecurity
INSKRP,inscripción,registration
INSKT,insecto,insect
INSLT,insulto,insult
INSLTR,insultar,insult
INSNR,insinuar,insinuate
INSPRR,inspirar,inspire
INSPRZ,inspiración,inspiration
INSRTR,insertar,insert
INSSTR,insistir,insist
INSTLR,instalar,install
INSTLZ,instalación,installation
INSTNT,instante,instant
INSTNT,instinto,instinct
INSTRM,instrumento,instrument
INSTRX,instrucción,instruction
INSTTT,instituto,institute
INSTTZ,institución,institution
INTGRD,integridad,integrity
INTGRL,integral,integral
INTGRR,integrar,integrate
INTGRZ,integración,integration
INTLJN,inteligencia,intelligence
INTLJN,inteligente,intelligent
INTLKT,intelectual,intellectual
INTM,íntimo,intimate
INTMDD,intimidad,intimacy
INTNS,intenso,intense
INTNSD,intensidad,intensity
INTNZN,intención,intention
INTRDX,introducción,introduction
INTRDZ,introducir,introduce
INTRKM,intercambiar,exchange
INTRKM,intercambio,exchange
INTRN,interno,internal
INTRNZ,internacional,international
INTRPR,interpretación,interpretation
INTRPR,interpretar,interpret
INTRPR,intérprete,interpreter
INTRR,interior,interior
INTRRG,interrogar,interrogate
INTRRM,interrumpir,interrupt
INTRS,interés,interest
INTRSN,interesante,interesting
INTRSR,interesar,interest
INTRVL,intervalo,interval
INTRVN,intervención,intervention
INTRVN,intervenir,intervene
INTRXN,interacción,interaction
INTZN,intuición,intuition
INVDR,invadir,invade
INVNTR,inventar,invent
INVNZN,invención,invention
INVRSN,inversión,investment
INVRTR,invertir,invest
INVSN,invasión,invasion
INVSTG,investigar,investigate
INVSVL,invisible,invisible
INVTR,invitar,invite
INVTZN,invitación,invitation
INZNT,inocente,innocent
INZR,iniciar,start
INZTV,iniciativa,initiative
IPTSS,hipótesis,hypothesis
IR,ira,anger
IRLNDS,irlandés,Irish
IRN,ironía,irony
IRNK,irónico,ironic
IRRGLR,irregular,irregular
IRRTR,irritar,irritate
ISPN,hispano,Hispanic
ISTR,historia,history
ISTRDR,historiador,historian
ISTRK,histórico,historic
ITLN,italiano,Italian
JD,judío,Jew
JDZL,judicial,judicial
JGDR,jugador,player
JGNT,gigante,giant
JGRF,geografía,geography
JGRFK,geográfico,geographic
JL,julio,July
JN,gen,gene
JN,genio,genius
JN,junio,June
JNR,género,gender
JNRL,general,general
JNRLZR,generalizar,generalize
JNRR,generar,generate
JNRS,generoso,generous
JNRZN,generación,generation
JNT,junta,board
JPNS,japonés,Japanese
JRD,jurado,jury
JRR,jurar,swear
JRRK,jerarquía,hierarchy
JRSDXN,jurisdicción,jurisdiction
JST,gesto,gesture
JSTFKR,justificar,justify
JSTZ,justicia,justice
JVNTD,juventud,youth
JZ,juez,judge
JZ,juicio,judgment
JZGR,juzgar,judge
KDG,código,code
KDRD,cuadrado,square
KDVR,cadáver,corpse
KL,kilo,kilo
KLDD,calidad,quality
KLDD,cualidad,quality
KLG,colega,colleague
KLKL,cálculo,calculation
KLKLR,calcular,calculate
KLKTV,colectivo,collective
KLM,calma,calm
KLM,clima,climate
KLMN,columna,column
KLMR,calmar,calm
KLMTK,climático,climatic
KLMTR,kilómetro,kilometer
KLMVN,colombiano,Colombian
KLN,colonia,colony
KLNDR,calendario,calendar
KLNK,clínica,clinic
KLNT,cliente,client
KLR,color,color
KLRDD,claridad,clarity
KLS,clase,class
KLSFKR,clasificar,classify
KLSFKZ,clasificación,classification
KLSK,clásico,classic
KLTR,cultura,culture
KLTRL,cultural,cultural
KLTVR,cultivar,cultivate
KLVRR,colaborar,collaborate
KLVRZN,colaboración,collaboration
KLXN,colección,collection
KLZN,coalición,coalition
KMD,comedia,comedy
KMK,cómico,comic
KMK,química,chemistry
KMK,químico,chemical
KMN,común,common
KMNDD,comunidad,community
KMNDNT,comandante,commander
KMNKR,comunicar,communicate
KMNKZN,comunicación,communication
KMNN,comunión,communion
KMNSM,comunismo,communism
KMNST,comunista,communist
KMNTR,comentar,comment
KMPLJ,complejo,complex
KMPLKD,complicado,complicated
KMPLKR,complicar,complicate
KMPLKZ,complicación,complication
KMPLMN,complemento,complement
KMPLT,completo,complete
KMPLTM,completamente,completely
KMPLTR,completar,complete
KMPNNT,componente,component
KMPNR,componer,compose
KMPNSR,compensar,compensate
KMPNSZ,compensación,compensation
KMPNT,campeonato,championship
KMPNY,campaña,campaign
KMPNYR,compañero,companion
KMPRDR,comprador,buyer
KMPRMS,compromiso,commitment
KMPRMT,comprometer,commit
KMPRNS,comprensión,understanding
KMPRR,comparar,compare
KMPRVR,comprobar,verify
KMPRZN,comparación,comparison
KMPS,compás,compass
KMPSN,compasión,compassion
KMPST,compuesto,compound
KMPSTR,compositor,composer
KMPSZN,composición,composition
KMPTDR,computadora,computer
KMPTNT,competente,competent
KMPTNZ,competencia,competence
KMPTRT,compatriota,compatriot
KMPTZN,competición,competition
KMR,cámara,camera
KMRZ,comercio,commerce
KMRZL,comercial,commercial
KMRZNT,comerciante,merchant
KMSN,comisión,commission
KMT,comité,committee
KMV,cambio,change
KMVNR,combinar,combine
KMVNZN,combinación,combination
KMVSTV,combustible,fuel
KMVT,combate,combat
KMVTR,combatir,combat
KND,conde,count
KNDDT,candidato,candidate
KNDDTR,candidatura,candidacy
KNDKT,conducta,conduct
KNDKTR,conductor,conductor
KNDNR,condenar,condemn
KNDNS,canadiense,Canadian
KNDZN,condición,condition
KNFDRZ,confederación,confederation
KNFGRR,configurar,configure
KNFLKT,conflicto,conflict
KNFNDR,confundir,confuse
KNFRMR,confirmar,confirm
KNFRNZ,conferencia,conference
KNFSN,confesión,confession
KNFSN,confusión,confusion
KNFSR,confesar,confess
KNGRGZ,congregación,congregation
KNGRS,congreso,congress
KNKLR,concluir,conclude
KNKLSN,conclusión,conclusion
KNKRT,concreto,concrete
KNKST,conquista,conquest
KNKSTR,conquistar,conquer
KNKTR,conectar,connect
KNL,canal,channel
KNSDRR,considerar,consider
KNSDRV,considerable,considerable
KNSDRZ,consideración,consideration
KNSJR,consejero,adviser
KNSKNZ,consecuencia,consequence
KNSLR,consolar,console
KNSLT,consulta,inquiry
KNSLTR,consultar,consult
KNSM,consumo,consumption
KNSMR,consumir,consume
KNSRVD,conservador,conservative
KNSRVR,conservar,preserve
KNSRVZ,conservación,preservation
KNSSTR,consistir,consist
KNSTNT,constante,constant
KNSTRX,construcción,construction
KNSTTZ,constitución,constitution
KNSZNT,consciente,conscious
KNT,quinto,fifth
KNTDD,cantidad,quantity
KNTKT,contacto,contact
KNTKTR,contactar,contact
KNTMNZ,contaminación,pollution
KNTMPL,contemplar,contemplate
KNTMPR,contemporáneo,contemporary
KNTN,continuo,continuous
KNTND,contenido,content
KNTNDD,continuidad,continuity
KNTNNT,continental,continental
KNTNNT,continente,continent
KNTNR,contener,contain
KNTNR,continuar,continue
KNTNT,cantante,singer
KNTNZN,continuación,continuation
KNTRDX,contradicción,contradiction
KNTRL,control,control
KNTRLR,controlar,control
KNTRR,contrario,contrary
KNTRST,contrastar,contrast
KNTRST,contraste,contrast
KNTRT,contrato,contract
